Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 120.0.0.0,,,24-01-2024 02:58:56,24-01-2024 02:59:56,"59,637s",PASSED
,,,,,,,
Test Cases/Register/Register - Sucess,Chrome 120.0.0.0,,,24-01-2024 02:58:56,24-01-2024 02:59:04,"7,781s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:58:57,24-01-2024 02:58:59,"2,733s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:58:59,24-01-2024 02:59:00,"0,501s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:59:00,24-01-2024 02:59:01,"0,802s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina lutfiyya"")",Chrome 120.0.0.0,,,24-01-2024 02:59:01,24-01-2024 02:59:01,"0,899s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:59:01,24-01-2024 02:59:02,"0,708s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 02:59:02,24-01-2024 02:59:03,"0,721s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 02:59:03,24-01-2024 02:59:04,"0,726s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:59:04,24-01-2024 02:59:04,"0,385s",PASSED
,,,,,,,
Test Cases/Register/Register - Required field fill blank,Chrome 120.0.0.0,,,24-01-2024 02:59:04,24-01-2024 02:59:38,"33,742s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:59:04,24-01-2024 02:59:06,"1,460s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:59:06,24-01-2024 02:59:06,"0,467s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:59:06,24-01-2024 02:59:38,"31,685s",PASSED
,,,,,,,
Test Cases/Register/Register - Required field fill with space,Chrome 120.0.0.0,,,24-01-2024 02:59:38,24-01-2024 02:59:44,"6,006s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:59:38,24-01-2024 02:59:39,"1,443s",PASSED
