Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
View Catalogue,Chrome 120.0.0.0,,,24-01-2024 03:01:00,24-01-2024 03:01:11,"10,913s",PASSED
,,,,,,,
Test Cases/View Catalogue,Chrome 120.0.0.0,,,24-01-2024 03:01:01,24-01-2024 03:01:11,"10,647s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 03:01:01,24-01-2024 03:01:04,"2,546s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 03:01:04,24-01-2024 03:01:04,"0,561s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 03:01:04,24-01-2024 03:01:05,"0,711s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina lutfiyya"")",Chrome 120.0.0.0,,,24-01-2024 03:01:05,24-01-2024 03:01:06,"0,925s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 03:01:06,24-01-2024 03:01:06,"0,735s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 03:01:06,24-01-2024 03:01:07,"0,754s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 03:01:07,24-01-2024 03:01:08,"0,757s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 03:01:08,24-01-2024 03:01:08,"0,383s",PASSED
"click(findTestObject(""Object Repository/Page_Register/a_Login""))",Chrome 120.0.0.0,,,24-01-2024 03:01:08,24-01-2024 03:01:09,"0,445s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 03:01:09,24-01-2024 03:01:10,"0,724s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 03:01:10,24-01-2024 03:01:10,"0,700s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 120.0.0.0,,,24-01-2024 03:01:10,24-01-2024 03:01:11,"0,400s",PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button_Lihat katalog""))",Chrome 120.0.0.0,,,24-01-2024 03:01:11,24-01-2024 03:01:11,"0,635s",PASSED
